Country,Year,ghg_mtco2,ghg_pergdp,gdp_percapita,population,fossilfuels_percapita,nuclear_percapita,renewables_percapita,yearly_oil_co2,yearly_gas_co2,yearly_flaring_co2,yearly_coal_co2,yearly_cement_co2
Canada,1990,626.36,1054.61,,27691138.0,69575.92,7308.302,30221.557,212.889,125.321,11.71,99.152,5.823
Canada,1991,622.29,1019.61,,28037420.0,66580.82,8400.267,31002.084,200.786,124.862,11.852,104.17,4.771
Canada,1992,638.22,1077.37,,28371264.0,67995.05,7875.702,31464.648,203.785,132.129,12.914,106.927,4.804
Canada,1993,636.25,1102.35,,28684764.0,67578.65,9076.748,31826.73,206.897,137.34,13.018,98.918,4.893
Canada,1994,656.82,1136.1,,29000664.0,68864.99,10306.517,32112.723,212.18,140.362,14.178,102.541,5.769
Canada,1995,672.53,1113.4,,29302312.0,70718.27,9254.588,32503.992,214.874,147.53,14.455,104.352,6.529
Canada,1996,696.88,1108.73,,29610218.0,71601.336,8686.772,34153.027,221.515,154.2,15.601,106.283,6.186
Canada,1997,709.57,1086.93,933745200000.0,29905948.0,73233.19,7654.234,33334.555,229.521,152.77,15.709,113.173,6.657
Canada,1998,726.1,1149.23,959857750000.0,30155172.0,73575.26,6568.58,31451.895,232.639,149.484,17.329,119.353,6.828
Canada,1999,723.75,1070.5,997968800000.0,30401286.0,74932.62,6689.845,32460.984,235.503,162.378,15.777,119.696,7.119
Canada,2000,739.69,996.49,1047046460000.0,30685730.0,76517.65,6565.187,33233.605,237.665,173.189,15.759,129.349,7.232
Canada,2001,962.37,1306.9,1061763000000.0,31020902.0,75087.586,6806.6,30523.553,241.582,165.583,15.227,126.825,6.983
Canada,2002,981.04,1294.33,1098098100000.0,31360080.0,76534.84,6595.847,31637.947,242.477,172.158,15.756,124.207,7.148
Canada,2003,1000.48,1121.13,1139947600000.0,31644028.0,77747.27,6434.675,29959.445,258.366,175.184,15.3,123.323,7.248
Canada,2004,995.19,972.62,1184565400000.0,31940656.0,76961.625,7637.133,29708.783,267.37,171.315,15.811,115.671,7.52
Canada,2005,1006.64,860.85,1243744700000.0,32243752.0,75415.64,7643.783,31167.271,261.125,171.842,15.53,116.765,7.614
Canada,2006,992.64,754.62,1295556800000.0,32571174.0,73384.54,7991.942,30083.85,259.315,171.446,15.898,114.091,7.729
Canada,2007,1023.93,698.94,1384543600000.0,32889024.0,75704.984,7488.75,30809.373,266.591,182.849,15.87,118.793,7.731
Canada,2008,999.57,645.24,1398494600000.0,33247118.0,73541.81,7550.168,31077.451,257.766,184.155,15.126,112.632,6.988
Canada,2009,962.46,701.93,1357541000000.0,33628896.0,67714.41,6955.13,30164.842,253.651,177.77,14.213,93.379,5.364
Canada,2010,975.84,604.81,1399482200000.0,34004890.0,70338.84,6874.07,28588.883,259.87,180.145,14.506,96.049,6.006
Canada,2011,825.24,461.38,1443522300000.0,34339330.0,72237.65,6973.159,30207.807,262.234,197.435,14.724,87.054,6.02
Canada,2012,830.07,453.91,1468960300000.0,34714224.0,69917.48,6948.143,30265.87,264.178,198.953,15.512,81.577,6.532
Canada,2013,841.21,455.4,1503174200000.0,35082950.0,71087.59,7450.756,30707.65,264.355,205.109,16.58,79.249,5.973
Canada,2014,848.12,470.26,1546315900000.0,35437436.0,72032.51,7602.093,29656.863,257.521,211.549,16.756,76.346,5.912
Canada,2015,844.67,542.8,1556508800000.0,35702908.0,70583.54,7099.155,30212.17,258.91,211.835,16.131,77.67,6.221
Canada,2016,731.11,478.4,1572095700000.0,36109490.0,69072.84,6962.013,30369.309,257.009,206.869,14.331,72.957,6.151
Canada,2017,745.74,452.0,1619885400000.0,36545296.0,69276.875,6846.54,30576.562,260.723,212.052,15.345,72.209,6.854
Canada,2018,763.44,444.83,1659241400000.0,37065176.0,71165.32,6705.749,29640.32,267.812,226.647,15.645,60.252,6.979
Japan,1990,1109.37,354.11,3520159000000.0,123478000.0,34980.06,4341.0,2191.706,670.55,118.872,1.525,317.909,38.701
Japan,1991,1123.86,313.54,3640460600000.0,123964000.0,35392.836,4640.236,2358.386,672.952,126.994,0.215,317.769,40.347
Japan,1992,1137.15,290.92,3671334000000.0,124425000.0,35932.9,4810.269,2036.977,686.492,128.435,0.208,312.121,41.666
Japan,1993,1129.63,253.61,3652319400000.0,124829000.0,35476.76,5473.489,2301.713,671.911,131.218,0.212,317.584,41.224
Japan,1994,1186.79,241.85,3688589400000.0,125178000.0,37388.06,5690.909,1718.073,711.884,137.667,0.231,325.23,42.297
Japan,1995,1201.85,220.56,3785636200000.0,125472000.0,38087.094,6306.434,2047.171,709.194,142.649,0.522,335.138,42.142
Japan,1996,1215.95,251.56,3904273000000.0,125757000.0,38687.62,6503.387,2028.371,706.12,148.449,0.57,343.969,42.56
Japan,1997,1203.81,272.68,3942583000000.0,126057000.0,38710.492,7030.359,2254.195,691.903,153.033,0.581,349.465,39.926
Japan,1998,1156.66,286.83,3892499200000.0,126400000.0,37432.47,7123.23,2303.259,676.069,156.331,0.498,327.323,35.363
Japan,1999,1182.31,259.16,3879501000000.0,126631000.0,38492.8,6920.887,2193.261,685.549,165.804,0.54,345.193,35.01
Japan,2000,1198.54,245.23,3986755400000.0,126843000.0,38908.516,6951.237,2200.724,676.304,170.604,0.511,372.048,35.085
Japan,2001,1153.99,268.15,4002148500000.0,127149000.0,38470.78,6926.432,2124.52,654.634,169.623,0.548,381.113,34.375
Japan,2002,1185.65,288.12,4003828000000.0,127445000.0,38461.766,6737.483,2114.922,665.588,173.419,0.525,398.258,32.417
Japan,2003,1193.4,268.44,4065291700000.0,127718000.0,39786.36,4894.772,2385.596,655.73,178.652,0.506,411.672,31.935
Japan,2004,1185.28,246.16,4154163700000.0,127761000.0,39165.19,6036.009,2373.987,644.61,177.565,0.477,419.646,31.276
Japan,2005,1186.26,249.45,4229100700000.0,127773000.0,40076.414,6142.452,2154.558,641.72,176.001,0.508,430.175,32.28
Japan,2006,1164.29,257.0,4287139000000.0,127854000.0,39477.17,6333.413,2382.454,604.922,192.654,0.553,427.282,31.991
Japan,2007,1200.21,265.81,4350758600000.0,128001000.0,39808.81,5767.719,2103.606,607.542,209.122,0.616,444.764,30.658
Japan,2008,1133.32,224.96,4297492800000.0,128063000.0,39742.89,5169.968,2094.658,562.91,204.485,0.565,426.082,28.553
