Country,Year,ghg_mtco2
Canada,1990,626.36
Canada,1991,622.29
Canada,1992,638.22
Canada,1993,636.25
Canada,1994,656.82
Canada,1995,672.53
Canada,1996,696.88
Canada,1997,709.57
Canada,1998,726.1
Canada,1999,723.75
Canada,2000,739.69
Canada,2001,962.37
Canada,2002,981.04
Canada,2003,1000.48
Canada,2004,995.19
Canada,2005,1006.64
Canada,2006,992.64
Canada,2007,1023.93
Canada,2008,999.57
Canada,2009,962.46
Canada,2010,975.84
France,1990,477.92
France,1991,502.72
France,1992,487.97
France,1993,469.18
France,1994,463.44
France,1995,472.18
France,1996,490.93
France,1997,480.98
France,1998,497.02
France,1999,486.59
France,2000,483.67
France,2001,447.09
France,2002,439.49
France,2003,444.36
France,2004,441.98
France,2005,442.64
France,2006,432.32
France,2007,425.14
France,2008,418.88
France,2009,400.59
France,2010,404.32
Germany,1990,1109.28
Germany,1991,1079.69
Germany,1992,1032.01
Germany,1993,1024.31
Germany,1994,1011.41
Germany,1995,1004.79
Germany,1996,1032.92
Germany,1997,994.92
Germany,1998,968.6
Germany,1999,934.16
Germany,2000,924.72
Germany,2001,973.21
Germany,2002,954.76
Germany,2003,953.66
Germany,2004,933.79
Germany,2005,909.39
Germany,2006,915.88
Germany,2007,886.8
Germany,2008,889.47
Germany,2009,832.31
Germany,2010,862.97
Italy,1990,456.75
Italy,1991,454.34
Italy,1992,451.12
Italy,1993,444.81
Italy,1994,439.52
Italy,1995,464.51
Italy,1996,460.76
Italy,1997,464.54
Italy,1998,475.84
Italy,1999,483.07
Italy,2000,488.0
Italy,2001,485.95
Italy,2002,494.23
Italy,2003,512.77
Italy,2004,523.88
Italy,2005,525.16
Italy,2006,512.76
Italy,2007,506.06
Italy,2008,491.14
Italy,2009,442.26
Italy,2010,450.75
Japan,1990,1109.37
Japan,1991,1123.86
Japan,1992,1137.15
Japan,1993,1129.63
Japan,1994,1186.79
Japan,1995,1201.85
Japan,1996,1215.95
Japan,1997,1203.81
Japan,1998,1156.66
Japan,1999,1182.31
Japan,2000,1198.54
Japan,2001,1153.99
Japan,2002,1185.65
Japan,2003,1193.4
Japan,2004,1185.28
Japan,2005,1186.26
Japan,2006,1164.29
Japan,2007,1200.21
Japan,2008,1133.32
Japan,2009,1073.57
Japan,2010,1130.13
United Kingdom,1990,746.4
United Kingdom,1991,761.64
United Kingdom,1992,739.51
United Kingdom,1993,722.61
United Kingdom,1994,711.75
United Kingdom,1995,702.55
United Kingdom,1996,722.68
United Kingdom,1997,701.07
United Kingdom,1998,697.42
United Kingdom,1999,671.25
United Kingdom,2000,673.87
United Kingdom,2001,684.64
United Kingdom,2002,666.82
United Kingdom,2003,674.47
United Kingdom,2004,669.83
United Kingdom,2005,663.91
United Kingdom,2006,661.01
United Kingdom,2007,645.52
United Kingdom,2008,625.56
United Kingdom,2009,570.73
United Kingdom,2010,583.6
United States,1990,5543.47
United States,1991,5501.92
United States,1992,5583.8
United States,1993,5691.26
United States,1994,5782.2
United States,1995,5843.9
United States,1996,6010.62
United States,1997,6258.47
United States,1998,6293.8
United States,1999,6291.25
United States,2000,6446.2
United States,2001,6406.04
United States,2002,6246.95
United States,2003,6306.12
United States,2004,6387.22
United States,2005,6401.12
United States,2006,6306.81
United States,2007,6397.67
United States,2008,6220.21
United States,2009,5793.66
United States,2010,6041.59
