"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","1079459785.07538","1253019985.81299","1486691280.4646","1667024562.2066","1733062101.99945","1871063627.46399","1981126193.7854","2125900800.25433","2300307636.11749","2358899781.95274","2386871336.54821","2555071151.65191","2605967807.51348","2638230786.23333","2839173960.82712","2754814813.59982","2664631917.33441","2717272980.20866","2932251756.57732","2967859536.68768","2999040092.39951","3053029591.03822","3050260247.54255","2729380539.81212","2628802064.83063","2719392023.2644","2682140077.74023","2794742549.43829","2803126777.08661","2962905027.93296","3025126021.24334","3085628514.57589","","","",
"Africa Eastern and Southern","AFE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","311169982080.201","323285420029.02","324137361139.777","324904890887.551","335991280370.627","335744928455.206","343211796919.346","356419426770.226","371553492227.897","381011756384.555","381454363487.242","380743094827.166","371168987953.935","366143045078.697","373259308702.326","389852776554.307","411757838299.032","425497585388.354","433058759301.954","444400083146.584","458370837918.959","474279518898.789","493381480349.776","507938789639.94","536636695538.921","571894814298.129","612005628196.497","657122654447.145","690131648164.243","700454955799.129","736994268629.049","769573168344.499","793636964363.031","832097103356.283","869140162002.636","895440123119.347","915987882841.859","944488562600.891","969690563421.648","989578515289.225","960588704311.729",
"Afghanistan","AFG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7520789110.28522","8185046098.20807","8300792306.80239","9232947610.95919","9727593846.45617","11072562055.9965","11507158325.3327","13968600294.1527","15974832335.4764","16042941797.4593","18088783792.947","19101890384.9424","19622329671.8141","19907111418.9938","20357074685.4669","20895927104.2161","21144427347.0253","21971513490.149","21546413426.1883",
"Africa Western and Central","AFW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","104562615030.654","106517679060.47","110526031310.582","118608398451.208","125073246761.806","130121342427.643","127844167077.757","115670808128.53","117412446791.023","135633268797.865","159954416922.735","177279054392.638","182890034828.249","190610913858.559","210111469788.916","205646809410.418","223442314091.672","234000852033.694","228855530877.073","240818888320.027","245487195388.412","228425179328.017","220749754790.138","206244865695.973","207273968132.775","218748644173.985","221797502910.757","225011049268.948","235990422833.838","241384980462.874","257262787521.055","260154266336.15","267167725949.962","264099185565.313","263315500031.678","268507472988.057","280999928009.356","291421126076.521","301784444225.354","306134466170.73","316955723688.354","334210423727.38","367618612202.16","388691973575.394","419173247177.272","443850767867.643","467217808934.042","493367032991.947","523788499742.577","556503157412.282","593795512718.19","623098228221.704","656037203534.085","695529912458.958","736625736178.355","757492080699.648","758381141816.615","775660784000.514","798370241746.1","823907661108.846","816206368505.518",
"Angola","AGO","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","29612271580.7811","28309331270.146","28309331270.146","29498323587.8461","31268223641.5706","32362611309.4121","33301127601.3525","34660728934.432","36785047049.076","36800357523.3979","35530708872.9213","35882945860.208","33787998745.5715","25684481961.1038","26028490521.3401","29932764107.0538","33986968355.6358","36459274698.2462","38169632669.2898","39002299281.5232","40193672967.3138","41884218272.0008","47607984243.6713","49031391565.5298","54401732106.9773","62577722356.6046","69803999474.4559","79583552534.9145","88469962099.1788","89229664824.2972","93159279071.8947","96393747204.0151","104627881965.967","109811717090.514","115107527232.243","116193649124.151","113195795293.516","113029156434.079","110764470655.247","110072586683.261","105625092810.786",
"Albania","ALB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","4650883986.94392","4918106818.68806","5063121959.04163","5119066330.81005","5054996268.37374","5145007754.09327","5435044352.73142","5392224755.00173","5315653025.20355","5838529838.1283","5279453229.64103","3801093257.61226","3527904469.15302","3865151381.54264","4186069744.29729","4743751908.64361","5175433305.93605","4610276812.59269","5017368298.75838","5664101891.19209","6057759019.3095","6559951484.0927","6857770699.50295","7237008901.41968","7635767997.31456","8058019462.59917","8533449376.19459","9043748115.96389","9722026471.77063","10047720826.4388","10420179016.1807","10685406108.9437","10836874517.9061","10945458608.0534","11139684324.606","11386846319.1589","11764298042.2109","12211599886.8489","12708770911.1568","12985020484.3706","12555055364.2919",
"Andorra","AND","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","859118311.597925","899062719.904123","972334025.377995","1048063942.04759","1106952451.18331","1112954410.01345","1149724053.6784","1182359839.7437","1199657766.31479","1200156310.43362","1226664494.18849","1225039476.39239","1240309117.08973","1262264055.95792","1284791514.60228","1314617089.21716","1357385813.282","1432681662.6703","1505667140.02062","1578346208.47111","1638029596.11962","1679733887.34562","1695342210.46359","1677855020.20559","1717841363.19786","1765210866.50133","1847288558.72479","2014794627.07375","2079163152.69985","2164389691.24157","2240757202.45755","2422692295.39982","2532836662.47081","2753046641.70271","2977025605.91611","3137719374.5448","3288602531.52017","3339680716.04543","3154021640.92742","2986768713.36079","2927781285.72513","2927545020.99495","2781915941.59078","2683224788.58295","2750425228.26783","2789870187.50693","2893365390.02848","2903378514.30766","2949506390.20052","3008955096.59511","2649202667.43661",
"Arab World","ARB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","538271768464.045","623204479403.053","675134324706.012","671063646194.274","748713403085.89","817049409159.849","843278741677.674","768799164277.295","717665131426.895","728974823677.909","712880210062.697","746728205850.643","743476511345.538","786318610975.099","804093758725.405","906502167968.346","926506021056.776","972985383314.013","1002880961280.65","1035728674024.84","1065705014041.49","1114748216647.35","1162186273560.28","1221892499290.61","1245103550380.31","1328586991266.84","1350429290502.28","1357564653890.23","1421764643920.61","1550788497242.95","1635411925327.75","1736243964096.01","1816724346466.79","1923915104177.7","1937517544800.46","2030043797150.59","2109761589462.31","2237375173225.19","2313881163937.75","2376764803072.29","2449468161380.59","2529330468589.41","2555542615658.4","2612192287622.15","2655607124744.25","2539288484617.42",
"United Arab Emirates","ARE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","54570464062.719","63589246353.0309","77222354831.3983","75994825715.2812","91895658608.5683","113835540253.884","119139339192.189","111133990290.303","105859770374.407","110112105775.038","106154151990.174","90275468966.5621","93328568814.7332","90884379736.1672","102097595700.572","120810028270.768","121849093512.614","125924878505.264","127513031678.657","136306519764.497","145422545048.871","153854731807.062","166456047669.749","166942089921.989","171787106034.363","190430652527.655","193094939280.322","197793821230.703","215200747197.39","235787790320.727","247235620464.455","271556979043.503","280204412800.086","289148078895.083","273988270923.96","278379782221.431","297672257290.815","311021744988.815","326738749354.879","340737229636.41","358135057862.492","369097444159.446","377858107493.805","382354073490.652","388768905678.42","",
"Argentina","ARG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","150797810292.95","158982878501.396","157628310157.913","149261089200.418","164381681829.118","181755894113.782","180556802911.899","186320169964.112","195305461616.884","214210104569.27","220734180307.714","233223609574.908","237021461353.032","243685921870.563","257171024124.624","257097956428.962","251909073023.993","269376820356.684","257238364642.468","283535234200.774","287841521828.722","272903153788.289","270895516735.076","282677015448.069","287117132732.02","272218554795.346","288969188906.66","296785426414.167","293550663098.28","272541389926.803","265817211208.207","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583429758479.468","571247658420.891","514664236246.393",
