Country,Year,ghg_mtco2,ghg_pergdp,gdp_percapita,population,fossilfuels_percapita,nuclear_percapita,renewables_percapita,yearly_oil_co2,yearly_gas_co2,yearly_flaring_co2,yearly_coal_co2,yearly_cement_co2
Brazil,1990,1642.29,3555.11,917245130000.0,149003230.0,5567.988,41.703,4382.485,151.775,7.484,7.554,37.095,11.062
Brazil,1991,1669.56,2769.41,931113340000.0,151648000.0,5637.896,26.414,4530.558,156.7,7.336,7.361,42.466,11.776
Brazil,1992,1679.5,4192.47,926765800000.0,154259380.0,5898.042,31.675,4560.862,163.252,7.983,7.445,41.203,9.77
Brazil,1993,1689.7,3859.53,970001000000.0,156849090.0,6057.62,7.828,4713.072,171.252,8.73,7.576,42.343,10.164
Brazil,1994,1706.03,3056.79,1021746200000.0,159432720.0,6335.552,0.958,4807.108,179.162,8.985,8.004,43.666,10.086
Brazil,1995,1726.08,2243.69,1066874000000.0,162019890.0,6528.491,43.187,4942.128,190.347,9.603,7.514,45.583,11.528
Brazil,1996,1735.71,2040.99,1090425650000.0,164614690.0,6820.701,40.954,5103.937,206.282,10.608,7.821,46.468,13.884
Brazil,1997,1766.32,1999.91,1127443900000.0,167209040.0,7162.566,52.645,5237.717,219.832,11.863,8.604,47.044,15.267
Brazil,1998,1800.62,2084.71,1131255700000.0,169785250.0,7302.218,53.417,5356.075,229.578,12.411,9.463,45.591,16.175
Brazil,1999,1810.51,3020.6,1136549300000.0,172318670.0,7367.763,64.109,5317.034,235.469,14.069,10.123,46.805,16.439
Brazil,2000,1807.03,2757.05,1186420500000.0,174790340.0,7334.648,96.084,5349.714,239.488,18.443,10.737,50.46,16.047
Brazil,2001,1901.78,3399.84,1202910500000.0,177196050.0,7462.85,222.389,4674.266,241.795,23.185,11.721,49.427,15.227
Brazil,2002,1935.36,3810.05,1239641000000.0,179537520.0,7345.299,211.306,4929.479,239.219,29.293,11.218,48.689,14.39
Brazil,2003,1948.37,3489.7,1253783100000.0,181809250.0,7210.959,200.166,5137.103,232.434,30.919,11.199,51.933,13.096
Brazil,2004,1995.86,2981.94,1326000600000.0,184006480.0,7512.861,170.815,5320.681,239.768,38.215,10.84,53.832,13.273
Brazil,2005,2004.36,2247.97,1368460900000.0,186127100.0,7556.786,142.423,5520.577,240.221,39.62,13.877,50.949,14.349
Brazil,2006,1994.55,1800.72,1422679200000.0,188167360.0,7627.152,195.38,5580.398,242.249,42.052,12.882,50.838,15.44
Brazil,2007,2029.48,1452.66,1509033900000.0,190130450.0,7852.38,172.535,6051.149,256.003,43.246,13.469,54.989,17.2
Brazil,2008,2030.84,1197.55,1585907100000.0,192030370.0,8245.678,192.02,6113.883,267.239,51.303,14.207,55.315,18.884
Brazil,2009,2008.85,1205.06,1583911800000.0,193886510.0,7695.322,175.319,6425.38,262.705,40.958,18.434,43.586,19.031
Brazil,2010,2104.61,952.8,1703152300000.0,195713630.0,8711.048,193.482,6681.251,286.08,55.049,15.214,56.689,21.288
Brazil,2011,1270.59,485.66,1770842800000.0,197514540.0,9088.141,205.456,6855.265,303.885,53.1,14.12,62.292,22.845
Brazil,2012,1311.58,532.04,1804863400000.0,199287300.0,9465.298,207.294,6619.196,327.734,63.397,14.761,61.016,24.998
Brazil,2013,1335.02,539.88,1859096700000.0,201035900.0,10136.376,196.756,6427.952,342.339,74.704,16.634,65.604,26.652
Brazil,2014,1372.79,558.96,1868465700000.0,202763740.0,10442.735,193.017,6353.726,356.753,81.286,17.642,69.034,26.908
Brazil,2015,1354.28,751.46,1802214300000.0,204471760.0,10016.564,182.294,6420.413,330.358,80.464,17.604,69.452,25.082
Brazil,2016,1443.98,804.13,1743175300000.0,206163060.0,9206.175,193.515,6658.975,312.94,69.666,17.505,63.831,22.415
Brazil,2017,1461.43,708.46,1766235300000.0,207833820.0,9299.423,189.324,6634.846,317.819,70.688,17.505,67.322,21.031
Brazil,2018,1420.58,753.43,1797739000000.0,209469310.0,8858.949,185.973,7046.457,305.903,67.417,17.505,65.828,20.64
Canada,1990,626.36,1054.61,,27691138.0,69575.92,7308.302,30221.557,212.889,125.321,11.71,99.152,5.823
Canada,1991,622.29,1019.61,,28037420.0,66580.82,8400.267,31002.084,200.786,124.862,11.852,104.17,4.771
Canada,1992,638.22,1077.37,,28371264.0,67995.05,7875.702,31464.648,203.785,132.129,12.914,106.927,4.804
Canada,1993,636.25,1102.35,,28684764.0,67578.65,9076.748,31826.73,206.897,137.34,13.018,98.918,4.893
Canada,1994,656.82,1136.1,,29000664.0,68864.99,10306.517,32112.723,212.18,140.362,14.178,102.541,5.769
Canada,1995,672.53,1113.4,,29302312.0,70718.27,9254.588,32503.992,214.874,147.53,14.455,104.352,6.529
Canada,1996,696.88,1108.73,,29610218.0,71601.336,8686.772,34153.027,221.515,154.2,15.601,106.283,6.186
Canada,1997,709.57,1086.93,933745200000.0,29905948.0,73233.19,7654.234,33334.555,229.521,152.77,15.709,113.173,6.657
Canada,1998,726.1,1149.23,959857750000.0,30155172.0,73575.26,6568.58,31451.895,232.639,149.484,17.329,119.353,6.828
Canada,1999,723.75,1070.5,997968800000.0,30401286.0,74932.62,6689.845,32460.984,235.503,162.378,15.777,119.696,7.119
Canada,2000,739.69,996.49,1047046460000.0,30685730.0,76517.65,6565.187,33233.605,237.665,173.189,15.759,129.349,7.232
